Index,Topic,Description / Key Concepts
1.2.7,Frequency Reuse and Planning,Reuse factors and guard bands.
1.3.1,Carrier Synchronization,PLLs and Costas loops.
1.3.2,Symbol Timing Recovery,Gardner and Mueller & Müller algorithms.
1.3.3,Equalization,MISSING
1.3.3.1,Linear,MISSING
1.3.3.2,DFE,MISSING
1.3.3.3,and adaptive methods,MISSING
1.3.4,Error Detection,MISSING
1.3.4.1,CRC,MISSING
1.3.4.2,parity,MISSING
1.3.4.3,checksum,MISSING
1.3.5,Spectral Efficiency,Trade-offs between bits/Hz and robustness.
1.4.1,Transmitter Chain,DAC → Mixer → PA → Filter → Antenna.
1.4.2,Receiver Chain,Antenna → LNA → Mixer → Filter → ADC.
1.4.3,LNA,Noise figure optimization and impedance matching.
1.4.4,Mixer,LO leakage and image rejection.
1.4.5,Filters,MISSING
1.4.5.1,BPF,MISSING
1.4.5.2,LPF,MISSING
1.4.5.3,SAW/BAW design,MISSING
1.4.6,Power Amplifiers,MISSING
1.4.6.1,Efficiency,MISSING
1.4.6.2,linearity,MISSING
1.4.6.3,and thermal effects,MISSING
1.4.7,Architectures,MISSING
1.4.7.1,Direct conversion,MISSING
1.4.7.2,superheterodyne,MISSING
1.4.7.3,zero-IF,MISSING
1.4.8,Testing,MISSING
1.4.8.1,Gain flatness,MISSING
1.4.8.2,NF,MISSING
1.4.8.3,linearity,MISSING
1.4.8.4,and S11,MISSING
1.5.1,Free-space and Reflection,Line-of-sight and multipath.
1.5.2,Fresnel Zones and Diffraction,Path clearance and shadowing.
1.5.3,Ground and Sky Wave,Long-distance and atmospheric effects.
1.5.4,Atmospheric and Rain Attenuation,Frequency-dependent losses (ITU models).
1.5.5,Urban and Indoor Models,MISSING
1.5.5.1,COST 231,MISSING
1.5.5.2,Hata,MISSING
1.5.5.3,WINNER II,MISSING
1.5.6,Doppler and Mobility,Coherence time and Doppler spread.
1.6.1,Antenna theory,MISSING
1.6.2,Antenna Parameters,MISSING
1.6.1.1,Gain,MISSING
1.6.1.2,efficiency,MISSING
1.6.1.3,polarization,MISSING
1.6.1.4,impedance,MISSING
1.6.3,Antenna design,MISSING
1.6.4,Antenna Types,MISSING
1.6.2.1,Dipole,MISSING
1.6.2.2,patch,MISSING
1.6.2.3,horn,MISSING
1.6.2.4,Yagi,MISSING
1.6.2.5,array,MISSING
1.6.2.6,reflector,MISSING
1.6.5,Matching and Baluns,Impedance matching for maximum power transfer.
1.6.6,Radiation Pattern,Beamwidth and sidelobe control.
1.6.7,Antenna Diversity and MIMO,Spatial diversity and correlation.
1.6.8,Antenna Measurements,MISSING
1.6.6.1,Gain,MISSING
1.6.6.2,pattern,MISSING
1.6.6.3,VSWR,MISSING
1.6.6.4,and S11 testing,MISSING
2.1.1,Core Formula,Pr = Pt + Gt + Gr − Lp − Lsys.
2.1.2,Free Space Path Loss (FSPL),Lfs = 32.4 + 20 log d + 20 log f.
2.1.3,Fade Margin,Design margin for reliability.
2.1.4,Link Tools,Spreadsheet and MATLAB simulations.
2.2.1,Receiver Dynamic Range,Difference between MDS and max input.
2.2.2,Nonlinearity Metrics,MISSING
2.2.2.1,P1dB,MISSING
2.2.2.2,IP3,MISSING
2.2.2.3,SFDR,MISSING
2.2.3,Testing Methods,Two-tone and sweep measurements.
2.3.1,Noise figure,MISSING
2.3.2,Noise Figure,Definition and measurement.
2.3.3,cascaded effects,MISSING
2.3.4,Thermal Noise,Generated power kTB.
2.3.5,measurement,MISSING
2.3.6,Friis Formula,Cascaded NF calculation.
2.3.7,Measurement Methods,MISSING
2.3.4.1,Y-factor,MISSING
2.3.4.2,noise diode,MISSING
2.4.1,Intermodulation Distortion,3rd and 5th order products.
2.4.2,Blocking Performance,Adjacent channel immunity.
2.4.3,ACPR Measurement,Output spectral purity.
2.5.1,PA Efficiency,PAE and drain efficiency.
2.5.2,Thermal Management,Heat sinks and derating.
2.5.3,Envelope Tracking,Doherty and supply modulation.
2.6.1,Matching Networks,MISSING
2.6.1.1,L,MISSING
2.6.1.2,π,MISSING
2.6.1.3,and T network design,MISSING
2.6.2,Smith Chart,Visualization of impedance and reflection.
2.6.3,Stability Criteria,MISSING
2.6.3.1,Rollet’s K,MISSING
2.6.3.2,μ-factor,MISSING
2.6.4,Stability Circles,Feedback and oscillation control.
3.1.1,Occupied Bandwidth (OBW),99% power bandwidth.
3.1.2,ACPR/ACLR,Adjacent channel leakage.
3.1.3,Harmonics & Spurious,Compliance with spectral limits.
3.1.4,Phase Noise,Frequency stability and jitter.
3.2.1,Sensitivity,MISSING
3.2.2,Sensitivity,Minimum detectable signal.
3.2.3,selectivity,MISSING
3.2.4,Selectivity,Adjacent channel rejection.
3.2.5,blocking,MISSING
3.2.6,Blocking,Out-of-band interference tolerance.
3.2.7,Desensitization,In-band interference effects.
3.3.1,BER vs Eb/N0,Performance curves.
3.3.2,EVM,Error vector magnitude.
3.3.3,Constellation Analysis,IQ scatter visualization.
3.3.4,Eye Diagram,Timing and jitter analysis.
3.4.1,Throughput,Measured data rate.
3.4.2,Latency and Jitter,Timing consistency.
3.4.3,Reliability,MISSING
3.4.3.1,PER,MISSING
3.4.3.2,FER,MISSING
3.4.3.3,link availability,MISSING
3.5.1,AM-AM,MISSING
3.5.2,AM-PM,MISSING
3.5.3,IMD,MISSING
3.6.1,Group delay,MISSING
3.6.2,envelope delay distortion,MISSING
4.1.1,Spectrum analyzer,MISSING
4.1.2,VNA,MISSING
4.1.3,generator,MISSING
4.1.4,oscilloscope,MISSING
4.2.1,Anechoic,MISSING
4.2.2,conducted,MISSING
4.2.3,OTA,MISSING
4.2.4,environmental,MISSING
4.3.1,SCPI,MISSING
4.3.2,PyVISA,MISSING
4.3.3,LabVIEW,MISSING
4.3.4,HIL,MISSING
4.5.1,Beamforming,MISSING
4.5.2,OTA chamber,MISSING
4.5.3,channel sounding,MISSING
5.3.1,3GPP,MISSING
5.3.2,IEEE,MISSING
5.3.3,FCC,MISSING
5.3.4,ETSI conformance,MISSING
5.4.1,Drive testing,MISSING
5.4.2,spectrum scanning,MISSING
5.5.1,MTBF,MISSING
5.5.2,telemetry,MISSING
5.5.3,predictive maintenance,MISSING
6.1.1,Spatial multiplexing,MISSING
6.1.2,CSI,MISSING
6.1.3,beamforming,MISSING
6.10.1,Channel emulation,MISSING
6.10.2,DSP,MISSING
6.10.3,hardware-in-loop,MISSING
6.11.1,LEO/GEO links,MISSING
6.11.2,Doppler,MISSING
6.11.3,rain fade,MISSING
6.12.1,6G,MISSING
6.12.2,short-range,MISSING
6.12.3,spectroscopy,MISSING
6.13.1,Physical-layer security,MISSING
6.13.2,LPI,MISSING
6.13.3,QKD,MISSING
6.14.1,RIS design,MISSING
6.14.2,beam steering,MISSING
6.15.1,Phase noise,MISSING
6.15.2,LO leakage,MISSING
6.15.3,compensation,MISSING
6.2.1,CQI,MISSING
6.2.2,HARQ,MISSING
6.2.3,LDPC,MISSING
6.2.4,Turbo,MISSING
6.2.5,Polar,MISSING
6.4.1,Modulation recognition,MISSING
6.4.2,channel prediction,MISSING
6.5.1,Pulse,MISSING
6.5.2,FMCW,MISSING
6.5.3,MIMO radar,MISSING
6.5.4,CFAR,MISSING
6.6.1,ES,MISSING
6.6.2,EA,MISSING
6.6.3,EP,MISSING
6.6.4,jamming,MISSING
6.6.5,protection,MISSING
6.7.1,Guard bands,MISSING
6.7.2,filtering,MISSING
6.7.3,cancellation,MISSING
6.9.1,IQ imbalance,MISSING
6.9.2,DPD,MISSING
6.9.3,synchronization,MISSING
7.1.1,Microstrip,MISSING
7.1.2,CPW,MISSING
7.1.3,grounding,MISSING
7.1.4,shielding,MISSING
7.2.1,MMICs,MISSING
7.2.2,SiP,MISSING
7.2.3,SoC,MISSING
7.2.4,thermal design,MISSING
7.3.1,Error budgets,MISSING
7.3.2,repeatability,MISSING
7.3.3,statistical validation,MISSING
