Source Index,Source Title,Target Index,Target Title,Relation Type
6.1,MIMO and Beamforming,1.6,Antenna Fundamentals,depends on
6.1,MIMO and Beamforming,4.5,OTA MIMO/mmWave Testing,verified by
6.1,MIMO and Beamforming,6.8,RF Sensing and ISAC,interacts with
6.2,Adaptive Modulation and Coding,3.3,Bit-Level Metrics,depends on
6.2,Adaptive Modulation and Coding,5.1,Link-Level Simulation,verified by
6.3,Cognitive Radio,6.8,RF Sensing and ISAC,interacts with
6.3,Cognitive Radio,6.10,Simulation and Modeling,modeled in
6.4,Machine Learning for RF,6.3,Cognitive Radio,applied to
6.4,Machine Learning for RF,6.10,Simulation and Modeling,used in
6.4,Machine Learning for RF,5.5,Reliability and Maintenance,used in
6.5,Radar Systems,6.8,RF Sensing and ISAC,interacts with
6.5,Radar Systems,6.14,Reconfigurable Intelligent Surfaces,extends
6.6,Electronic Warfare,6.3,Cognitive Radio,interacts with
6.6,Electronic Warfare,6.5,Radar Systems,interacts with
6.6,Electronic Warfare,6.7,Interference Management,depends on
6.7,Interference Management,2.4,Linearity and Interference Robustness,depends on
6.7,Interference Management,5.6,Network-Level Coexistence,interacts with
6.8,RF Sensing and ISAC,6.1,MIMO and Beamforming,depends on
6.8,RF Sensing and ISAC,6.5,Radar Systems,interacts with
6.8,RF Sensing and ISAC,6.10,Simulation and Modeling,modeled in
6.9,Hardware and Calibration,4.4,Calibration and Verification,depends on
6.9,Hardware and Calibration,7.3,Measurement Uncertainty,affects
6.10,Simulation and Modeling,1.5,Propagation and Channel Fundamentals,depends on
6.10,Simulation and Modeling,5.1,Link-Level Simulation,extends
6.10,Simulation and Modeling,5.4,Field Measurements,verified by
6.11,Non-Terrestrial Networks (NTN),1.5,Propagation and Channel Fundamentals,depends on
6.11,Non-Terrestrial Networks (NTN),2.1,Link Budget Analysis,depends on
6.12,Terahertz and Sub-THz,1.4,RF Front-End Architecture,implemented in
6.12,Terahertz and Sub-THz,4.6,EMC/EMI Testing,verified by
6.12,Terahertz and Sub-THz,6.9,Hardware and Calibration,depends on
6.13,Quantum and Secure RF,5.3,Standards Compliance,depends on
6.13,Quantum and Secure RF,6.4,Machine Learning for RF,extends
6.14,Reconfigurable Intelligent Surfaces,6.1,MIMO and Beamforming,extends
6.14,Reconfigurable Intelligent Surfaces,1.5,Propagation and Channel Fundamentals,depends on
6.14,Reconfigurable Intelligent Surfaces,6.8,RF Sensing and ISAC,interacts with
6.15,Hardware Nonidealities,2.2,Dynamic Range and Linearity,affects
6.15,Hardware Nonidealities,6.9,Hardware and Calibration,verified by
6.15,Hardware Nonidealities,7.3,Measurement Uncertainty,affects
7.1,PCB Design,1.4,RF Front-End Architecture,implemented in
7.1,PCB Design,6.9,Hardware and Calibration,depends on
7.2,Packaging and Integration,2.5,Power Efficiency and Thermal Design,affects
7.2,Packaging and Integration,6.9,Hardware and Calibration,depends on
7.3,Measurement Uncertainty,4.4,Calibration and Verification,verified by
7.3,Measurement Uncertainty,6.9,Hardware and Calibration,depends on
7.3,Measurement Uncertainty,4.6,EMC/EMI Testing,applied to
